RunTime,Date,Time,GPSWeek,GPSTOW,Flags,yaw(deg),pitch(deg),roll(deg)
1.626,20190110,17:26:06.148,0,0.950,0007,144.14,-0.41,-0.10
1.726,20190110,17:26:06.248,0,1.050,0007,144.15,-0.42,-0.10
1.826,20190110,17:26:06.348,0,1.150,0007,144.16,-0.42,-0.11
1.926,20190110,17:26:06.448,0,1.250,0006,144.16,-0.43,-0.11
2.026,20190110,17:26:06.548,0,1.350,0006,144.17,-0.43,-0.11
2.128,20190110,17:26:06.650,0,1.450,0004,144.18,-0.44,-0.12
2.228,20190110,17:26:06.750,0,1.550,0004,144.20,-0.44,-0.12
2.328,20190110,17:26:06.850,0,1.650,0004,144.20,-0.44,-0.13
2.428,20190110,17:26:06.950,0,1.750,0004,144.21,-0.45,-0.13
2.528,20190110,17:26:07.050,0,1.850,0004,144.22,-0.44,-0.13
2.628,20190110,17:26:07.150,0,2.099,0004,144.22,-0.44,-0.14
2.728,20190110,17:26:07.250,0,1.199,0006,144.23,-0.44,-0.15
2.830,20190110,17:26:07.352,0,1.299,0006,144.24,-0.43,-0.16
2.930,20190110,17:26:07.452,0,1.399,0006,144.25,-0.43,-0.17
3.030,20190110,17:26:07.552,0,1.499,0006,144.25,-0.43,-0.17
3.130,20190110,17:26:07.652,0,1.599,0006,144.26,-0.44,-0.18
3.230,20190110,17:26:07.752,0,1.699,0004,144.26,-0.44,-0.18
3.330,20190110,17:26:07.852,0,1.799,0004,144.27,-0.44,-0.19
3.430,20190110,17:26:07.952,0,1.899,0004,144.28,-0.45,-0.19
3.530,20190110,17:26:08.052,0,1.999,0004,144.29,-0.45,-0.19
3.632,20190110,17:26:08.154,0,2.099,0004,144.29,-0.45,-0.19
3.732,20190110,17:26:08.254,0,2.199,0006,144.29,-0.45,-0.19
3.832,20190110,17:26:08.354,0,2.299,0006,144.30,-0.45,-0.19
3.932,20190110,17:26:08.454,0,2.399,0006,144.31,-0.45,-0.19
4.032,20190110,17:26:08.554,0,2.499,0006,144.31,-0.45,-0.20
4.132,20190110,17:26:08.654,0,2.599,0006,144.32,-0.45,-0.20
4.232,20190110,17:26:08.754,0,2.699,0004,144.33,-0.45,-0.20
4.332,20190110,17:26:08.854,0,2.799,0004,144.33,-0.45,-0.20
4.434,20190110,17:26:08.956,0,2.899,0004,144.34,-0.46,-0.21
4.534,20190110,17:26:09.056,0,2.999,0004,144.34,-0.46,-0.21
4.634,20190110,17:26:09.156,0,3.099,0004,144.35,-0.46,-0.21
4.734,20190110,17:26:09.256,0,3.199,0006,144.35,-0.46,-0.22
4.834,20190110,17:26:09.356,0,3.299,0006,144.36,-0.46,-0.21
4.934,20190110,17:26:09.456,0,3.399,0006,144.36,-0.46,-0.22
5.034,20190110,17:26:09.556,0,3.499,0006,144.37,-0.47,-0.22
5.136,20190110,17:26:09.658,0,3.599,0006,144.37,-0.47,-0.22
5.236,20190110,17:26:09.758,0,3.699,0004,144.38,-0.47,-0.22
5.336,20190110,17:26:09.858,0,3.799,0004,144.38,-0.48,-0.21
5.436,20190110,17:26:09.958,0,3.899,0004,144.39,-0.49,-0.21
5.536,20190110,17:26:10.058,0,3.999,0004,144.39,-0.49,-0.20
5.636,20190110,17:26:10.158,0,4.099,0004,144.40,-0.49,-0.20
5.736,20190110,17:26:10.258,0,4.199,0006,144.41,-0.49,-0.21
5.836,20190110,17:26:10.358,0,4.299,0006,144.41,-0.49,-0.21
5.938,20190110,17:26:10.460,0,4.399,0006,143.88,0.10,-0.20
6.038,20190110,17:26:10.560,0,4.499,0006,144.61,0.05,-0.25
6.138,20190110,17:26:10.660,0,4.599,0006,143.00,-2.44,1.10
6.238,20190110,17:26:10.760,0,4.699,0004,142.40,-5.08,0.42
6.338,20190110,17:26:10.860,0,4.799,0004,143.22,-8.47,7.03
6.438,20190110,17:26:10.960,0,4.899,0004,142.41,-11.18,8.44
6.538,20190110,17:26:11.060,0,4.999,0004,138.36,-16.92,-2.40
6.638,20190110,17:26:11.160,0,5.099,0004,138.18,-21.32,-6.94
6.740,20190110,17:26:11.262,0,5.199,0006,140.33,-31.86,-8.67
6.840,20190110,17:26:11.362,0,5.299,0006,142.46,-47.07,-7.54
6.940,20190110,17:26:11.462,0,5.399,0006,142.16,-54.71,5.46
7.040,20190110,17:26:11.562,0,5.499,0006,142.09,-53.80,5.41
7.140,20190110,17:26:11.662,0,5.599,0006,143.14,-43.87,0.15
7.240,20190110,17:26:11.762,0,5.699,0004,141.16,-32.03,0.69
7.340,20190110,17:26:11.862,0,5.799,0004,140.27,-28.59,4.13
7.440,20190110,17:26:11.962,0,5.899,0004,143.49,-19.01,-1.75
7.542,20190110,17:26:12.064,0,5.999,0004,144.98,-11.88,-8.58
7.642,20190110,17:26:12.164,0,6.099,0004,145.23,-9.35,-10.93
7.742,20190110,17:26:12.264,0,6.199,0006,144.35,-16.00,-5.67
7.842,20190110,17:26:12.364,0,6.299,0006,146.61,-28.74,-0.98
7.942,20190110,17:26:12.464,0,6.399,0006,144.40,-43.47,4.78
8.042,20190110,17:26:12.564,0,6.499,0006,144.59,-55.92,8.73
8.142,20190110,17:26:12.664,0,6.599,0006,143.59,-63.39,11.02
8.244,20190110,17:26:12.766,0,6.699,0004,142.50,-63.57,10.61
8.344,20190110,17:26:12.866,0,6.799,0004,140.83,-53.78,12.23
8.444,20190110,17:26:12.966,0,6.899,0004,139.02,-42.78,10.30
8.544,20190110,17:26:13.066,0,6.999,0004,135.49,-28.50,5.36
8.644,20190110,17:26:13.166,0,7.099,0004,135.65,-17.85,2.27
8.744,20190110,17:26:13.266,0,7.199,0006,136.63,-14.34,-2.39
8.844,20190110,17:26:13.366,0,7.299,0006,136.60,-15.95,1.93
8.944,20190110,17:26:13.466,0,7.399,0006,136.41,-28.07,2.71
9.046,20190110,17:26:13.568,0,7.499,0006,132.79,-46.74,19.86
9.146,20190110,17:26:13.668,0,7.599,0006,124.63,-63.40,30.41
9.246,20190110,17:26:13.768,0,7.699,0004,121.13,-74.27,27.79
9.346,20190110,17:26:13.868,0,7.799,0004,128.33,-76.71,19.39
9.446,20190110,17:26:13.968,0,7.899,0004,136.61,-68.12,6.30
9.546,20190110,17:26:14.068,0,7.999,0004,137.79,-53.21,4.66
9.646,20190110,17:26:14.168,0,8.099,0004,137.37,-37.02,4.87
9.746,20190110,17:26:14.268,0,8.199,0006,136.15,-22.03,1.17
9.848,20190110,17:26:14.370,0,8.299,0006,136.64,-16.43,-0.12
9.948,20190110,17:26:14.470,0,8.399,0006,136.02,-16.75,11.51
10.048,20190110,17:26:14.570,0,8.499,0006,132.90,-21.00,39.55
10.148,20190110,17:26:14.670,0,8.599,0006,128.89,-26.12,66.30
10.248,20190110,17:26:14.770,0,8.699,0004,125.72,-24.43,83.32
10.348,20190110,17:26:14.870,0,8.799,0004,127.20,-23.10,82.09
10.448,20190110,17:26:14.970,0,8.899,0004,127.87,-25.49,53.60
10.548,20190110,17:26:15.070,0,8.999,0004,128.24,-30.12,20.33
10.650,20190110,17:26:15.172,0,9.099,0004,129.05,-30.67,-8.20
10.750,20190110,17:26:15.272,0,9.199,0006,129.95,-26.06,-24.66
10.850,20190110,17:26:15.372,0,9.299,0006,130.84,-22.50,-27.24
10.950,20190110,17:26:15.472,0,9.399,0006,129.93,-23.45,-19.31
11.050,20190110,17:26:15.572,0,9.499,0006,127.10,-23.68,17.79
11.150,20190110,17:26:15.672,0,9.599,0006,123.44,-22.99,52.07
11.250,20190110,17:26:15.772,0,9.699,0004,122.27,-19.92,75.31
11.352,20190110,17:26:15.874,0,9.799,0004,122.10,-16.96,80.61
11.452,20190110,17:26:15.974,0,9.899,0004,122.79,-20.10,67.47
11.552,20190110,17:26:16.074,0,9.999,0004,123.75,-23.62,32.18
11.652,20190110,17:26:16.174,0,10.099,0004,127.82,-24.84,-5.01
11.752,20190110,17:26:16.274,0,10.199,0006,130.83,-20.51,-31.99
11.852,20190110,17:26:16.374,0,10.299,0006,131.79,-16.43,-44.51
11.952,20190110,17:26:16.474,0,10.399,0006,132.75,-16.69,-37.72
